identifier	pos	stem	morphology	number	case	psx	comment	figurative	grabbing	temporal	existential	non-finite	meaning_fin	predicate	rel_nouns_noun?	form	sentence
0015	ADP	кост	кост-ӧд	sg	prl	FALSE	Aukko						puun oksien välistä (hän) näki	аддзис	пу увъяс	костӧд	И сэн, на сайын, пу увъяс КОСТӦД сійӧ аддзис: сё, кыксё, витсё, он гӧгӧрво мындаӧн белӧйяс мыйвынсьыныс локтӧны станциялань.
0016	ADP	выв	выв-ті	sg	tra	FALSE							hyrrä pyörii maata pitkin	бергалыштас	Му	вывті	Кор дурпоп медъёна бергалӧ, бергалыштас неуна джоджӧд либӧ Му ВЫВТІ дай сувтӧ ёсь вылас ӧтилаӧ, быттьӧ измылӧ, муртса тӧдчыштӧ бергӧдчӧмыс.
0017	NOUN	джодж	джодж-ӧд	sg	prl	FALSE							kääntyy lattiaa pitkin	бергалыштас		джоджӧд	Кор дурпоп медъёна бергалӧ, бергалыштас неуна ДЖОДЖӦД либӧ Му вывті дай сувтӧ ёсь вылас ӧтилаӧ, быттьӧ измылӧ, муртса тӧдчыштӧ бергӧдчӧмыс.
0018	ADP	весь	весь-ті	sg	tra	FALSE	Tila						"käännän ""kuuta"" auringon ja maan (mallin) ylitse"	бергӧдла	шондиа-муа	весьті	Ме бергӧдла «тӧлысьсӧ» «му» гӧгӧр ог дзик шондіа-муа ВЕСЬТІ.
0019	NOUN	туй	туй-ӧд	sg	prl	FALSE	Väylä	TRUE (?)					kääntyy (omaa) tietään (muualle)	бергӧдчӧ		туйӧд	Сӧмын тӧлысьыс аслас ТУЙӦД мӧдарӧ бергӧдчӧ да кольччӧ енэжсьыс.
0020	NOUN	овмӧдчанін	овмӧдчанін-ті	sg	tra	FALSE	Tila						(niiden) pesimispaikka polttelee	биалӧ		овмӧдчанінті	Найӧ ОВМӦДЧАНІНТІ биалӧ, гӧрдӧдӧ, сэсся вежӧдӧ — орӧссьӧ.
0021	NOUN	кӧвй	кӧвй-ӧд-ыс	sg	prl	TRUE			TRUE				ota (pallo) narusta	босьт		кӧвйӧдыс	— Ӧні босьт сярсӧ КӦВЙӦДЫС, — тшӧктіс профессор, — сувт чужӧмнад лампаланьыс да кут сярсӧ сідз, мед сійӧ вӧлі синма-лампаа костас.
0022	ADP	берд	берд-ті	sg	tra	FALSE	Väylä						kulkee sontakanavaa pitkin	босьтсьӧ	куйӧд канава	бердті	Кыскан трубаыс ӧні вӧчсьӧ кык пӧвстӧн: шоныд сынӧд (ру) босьтсьӧ (кыскыссьӧ) вылысь, йирк бердысь, стойласа газъяс (медъёна — аммиак) улысь, куйӧд канава БЕРДТІ.
0023	ADP	туй	туй-ӧд	sg	prl	FALSE		TRUE					kasvoi tällä tavalla CHECK	быдмис		туйӧд	Тайӧ ТУЙӦД и быдмис 3 сюрс во чӧж первобытнӧй гӧр — рогулька.
0024	NOUN	кос	кос-ті	sg	tra	FALSE		TRUE					vetävät väliin (saada keskenmeno)	вайӧны		кості	Йӧз дзоньвидзалун вӧсна тӧждысьысь комиссариат бердса венерологическӧй диспансер * арталӧм серти миян лёквисьӧмӧн висьысь мамъяслӧн 55% кага вайӧм оз лючкиа помась (либӧ кулӧмаӧсь, либӧ КОСТІ вайӧны).
0025	ADP	выв	выв-ті-ыд	sg	tra	TRUE	Tila						vetää pään päältä	ваяс	юр	вывтіыд	Кужӧмӧн мутӧ вынсьӧдан, кужӧмӧн уджалан, дӧзьӧритан, — муыд юр ВЫВТІЫД ваяс тэд турун и нянь.
0026	NOUN	кост	кост-ті	sg	tra	FALSE		TRUE					vetää väliin (saada keskenmeno)	ваяс		костті	Ёгор гӧтыр челядясяс, КОСТТІ ваяс кага.
0027	ADP	дін	дін-ті-ыс	sg	tra	TRUE	Tila						peittää ruohon juuren kohdalta	вевттӧ	турун_под	дінтіыс	Ойдлан видзьястӧ вынсьӧдӧ-куйӧдалӧ тувсов ваыс; сійӧ аслас визулӧн вайыштӧ ыджыд ва дырйи, ваӧн босьтӧм инъясысь жӧ, бурджык му да вевттьӧ важ мусинсӧ турун под ДІНТІЫС (шуӧны тай: видзтӧ пӧ няйталӧ).
0028	ADP	кос	кос-ті	sg	tra	FALSE	Väylä						(ruoho) ehtii kasvaa sen välistä	вевъялас быдмыны	сы	кості	Сы КОСТІ мӧдлаас туруныс вевъялас быдмыны; сійӧ жӧ тӧдас, кутшӧм кадӧ колӧ скӧтсӧ видзны бур пӧскӧтина вылын да кутшӧм кадӧ омӧльджык вылын; скӧтъяс кӧ висьмасны, вермас сетны медводдза отсӧг висьысь скӧтъяслы.
0029	ADP	выв	выв-ті	sg	tra	FALSE	Tila						siirsivät (kuorman) maan yli	вежисны	му	вывті	Техникалӧн, промышленносьтлӧн да вузасьӧмлӧн паськалӧмыс ӧти сё воӧн дзикӧдз вежисны му ВЫВТІ да ва вывті груз да йӧзӧс кыскалан ногсӧ.
0030	ADV	выв	выв-ті		tra								heinä on kasvanut liian kauan			вывті	Унджык шептыс кӧ кӧйдыса либӧ эмӧсь кӧйдыс быдманінъясыс (шеплӧн шульясыс) — турун ВЫВТІ дыр быдмӧма (сӧрмӧма).
0031	ADP	выв	выв-ті	sg	tra	FALSE	Tila						siirsivät (kuorman) veden yli	вежисны	ва	вывті	Техникалӧн, промышленносьтлӧн да вузасьӧмлӧн паськалӧмыс ӧти сё воӧн дзикӧдз вежисны му вывті да ва ВЫВТІ груз да йӧзӧс кыскалан ногсӧ.
0032	NOUN	веськаланін	веськаланін-ті	sg	tra	FALSE	Aukko						vihertää ötökän sisäänmenoaukosta	вежӧдас		гаг веськаланінті	Войдӧр ГАГ ВЕСЬКАЛАНІНТІ вежӧдас, сэсся висьны, ёнтыны пондас.
0033	NOUN	мунан_туй	мунан_туй-ӧд-ыс	sg	prl	TRUE	Väylä					TRUE	kaventaen pienentää menoreittiä	векньӧдӧмӧн чинтыны		мунан_туйӧдыс	Сэні колӧ кутны бисӧ водзӧ мунӧмысь да пӧжарсӧ вочасӧн векньӧдӧмӧн чинтыны билысь вынсӧ главнӧй МУНАН ТУЙӦДЫС.
0034	ADP	ув	ув-ті-ыс	sg	tra	TRUE	Tila						oppi ylittämään veden alitse	велаліс вуджны	ва	увтіыс	Ӧні сійӧ ёна вежӧра лои, вермӧ лэбавны пӧткаяс дорысь сюсьджыка да дырджыка, велаліс саридзьяс вомӧн, ва УВТІЫС вуджны, мӧда-мӧдкӧд сюрс верст сайсянь сёрнитны телепонӧн, тӧдӧ кодзувъяслысь туйсӧ, весиг во-мӧд водзвыв вермӧ висьтавны шонді саявлӧм йылысь.
0035	ADP	туй	туй-ӧд	sg	prl	FALSE	Aukko						voi siirtyä haavan kautta	вермас вуджны	гыжна	туйӧд	Висьӧмыд вермас вуджны и гыжна ТУЙӦД да дой пыр.
0036	ADP	выв	выв-ті	sg	tra	FALSE	Tila						voi paeta katon kautta	вермас петны	вевт	вывті	А оз кӧ ло турунсӧ бура йӧткыштӧма, сійӧ вермас бӧр петны ползун вевт ВЫВТІ, дзугсьыны камера вевта – ползун юра костын да тыртны машинасӧ.
0037	NOUN	места	места-ӧд	sg	prl	FALSE	Väylä						voi tunkeutua (jotain) reittiä	вермас писькӧдчыны		местаӧд	Он кӧ тадзи вӧч, биыс зэв кокньыда да тӧдлытӧг вермас кутшӧмкӧ МЕСТАӦД писькӧдчыны чеп пыр да ӧзйыны рабочӧйяс мыш сайын.
0038	ADV	бӧр	бӧр-ті		tra								takaa			бӧрті	Абу кӧ гӧрӧма арнас коськӧм мутӧ, тулыснас колӧ сэті гӧрны водзджык, пырысь-пыр, мыйӧн помасяс вося кӧдзаыд, сёрмӧдчан кӧ гӧрӧмнад, бара жӧ муыс вывті ёна косьмӧ да БӦРТІ гырысь комӧкӧн кутас гӧрсьыны.
0039	ADV	бӧрладор	бӧрладор-ті-ыс		tra											бӧрладортіыс	Бура колькъялысь курӧглӧн бокса лыясыс БӦРЛАДОРТІЫС вӧсньыдикӧсь, небыдӧсь, лайкъялана (личкыштан да).
0040	NOUN	места	места-ӧд-ыс	sg	prl	TRUE	Väylä (2-ulott.)						(lautta) saattoi mennä	вермис мунны		местаӧдыс	Тайӧ МЕСТАӦДЫС паракод вермис мунны 3 час да 10 минутӧн.
0041	NOUN	дой	дой-ӧд	sg	prl	FALSE	Aukko						voi kulkeutua (silmin näkymättömästä) haavasta	вермӧ веськавны		дойӧд	Вермӧ веськавны весиг синмӧн аддзытӧм ДОЙӦД.
0042	NOUN	ва	ва-ӧд	sg	prl	FALSE	Väylä (2-ulott.)						voi kulkea vettä pitkin	вермӧ ветлыны		ваӧд	Машинаясӧн морт вермӧ ветлыны кос вывті, ВАӦД, уна сё пӧв ӧдйӧнджыка да кокньыдджыка.
0043	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	БЫДЛАТІ ойдӧма — ваӧн тырӧма.
0044	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Вина юысь морт эновтчӧ овмӧссьыс, омӧля уджалӧ, БЫДЛАТІ киссьӧма, жугласьӧма, некыт оз выльдышт.
0045	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Голясӧ, киняувъяссӧ, пель сайяссӧ, кокъяс костсӧ — БЫДЛАТІ, кыті кусыня кучикыс — косьтыны сӧмын личкыштӧмӧн: небыдика тап-тап вӧчышт.
0046	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Гутъясыд БЫДЛАТІ лэбалӧны, гожӧмъясын керка картаыд наӧн тыр.
0047	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Дзоньвидза-ӧ БЫДЛАТІ кагаыс, позьӧ тӧдны веситӧм серти.
0048	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Кага видзигӧн мед вӧлі БЫДЛАТІ сӧстӧм.
0049	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Казяланныд кӧ нырсьыс ва петӧм, пыкӧсъяс кучик вывсьыс, асмогасянінъяссьыс висьӧмъяс, абу кӧ БЫДЛАТІ лючки-ладнӧ, пырысьтӧм-пыр жӧ колӧ петкӧдлыны вӧвтӧ скӧт лекарлы.
0050	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Киноыд БЫДЛАТІ новлӧдлас, быдсяма олӧмсӧ петкӧдлас син водзад, ас сиктсьыд некытчӧ ветлытӧг.
0051	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Колӧ став керкатӧ киськавны пузьӧм ваӧн, резны БЫДЛАТІ.
0052	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Кӧртӧднад зэлӧдӧ сійӧс БЫДЛАТІ, оз вермы лючки лолыштны ни быдмыны, быттьӧ поньталӧма.
0053	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Лыяс висьмӧм бӧрын мортыдлы зэв нин сьӧкыд да делӧ овны: БЫДЛАТІ зэв ёна юкалӧ, медся нин войясын.
0054	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Миян ӧд сӧмын БЫДЛАТІ няйт да дук.
0055	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Мукӧддырйиыс пыктытӧдзыс морттӧ биалӧ да кынтӧ, а кор быттьӧ мортыд мудзӧма, жуялӧма, быттьӧ БЫДЛАТІ сылӧн висьыштӧ сы бӧрын и висьмӧны суставъясыс.
0056	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Налӧн БЫДЛАТІ сӧстӧм да пельк.
0057	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Пӧсь дозйыд кӧдзыд васьыд кутас зэв ӧдйӧ чинны, топавны; оз ӧткодя БЫДЛАТІ чин, дорыс ньӧжйӧджык чинӧ; сы понда потласьӧ дозйыд.
0058	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Ручнӧй прессъяслӧн тырмытӧмторъясыс: оз БЫДЛАТІ ӧткодя лэччы пӧвйыс, дай вильдалӧны скрепаясыс (уджалігӧн стержень кутысь муфтаяс), а медся главнӧйыс — зэлыда да не пасьтала ӧткодя турун сюялӧмӧн прессовальнӧй камераяс унаысь жугавлӧны.
0059	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Сийӧс-заводыд вӧлыдлӧн медым вӧлі БЫДЛАТІ лючки-ладнӧ, медым некыт эз зырт, эз дойд.
0060	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Сідзтӧ челядьлӧн БЫДЛАТІ ёна мудзӧ, медъёна бара жӧ нервнӧй системаыс.
0061	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Сы вӧсна вуджана висьӧмӧн висьысьлӧн оз сӧмын висьмӧминыс вись, а БЫДЛАТІ: мортыд быттьӧ пыр зэв ёна мудзӧма, оз сёйсьы ни юсьы.
0062	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Тушаыс видзӧднысӧ мед вӧлі БЫДЛАТІ лӧсьыд статя.
0063	ADV	быдла	быдла-ті		tra								kaikkialta			быдлаті	Шыблалӧмӧн кӧдзигӧн кӧйдыссӧ тыртӧны му пытшкас пиняясӧн (агасъясӧн), мукӧд тусьяс вылӧ муыс воӧ кызджыка, мукӧдӧ — пелькджыка, кытчӧ и дзик оз веськавлы — оз БЫДЛАТІ ӧтмоза вевттьысь мунас.
0064	NOUN	потас	потас-ъяс-ӧд-ыс	pl	prl	TRUE	Aukko						voi kivuta puhkeamien kautta	вермӧ каттьысьны		потасъясӧдыс	Сэтшӧм розьясӧдыс, ПОТАСЪЯСӦДЫС пытшкӧс ва му пытшкысь вермӧ ньӧжйӧникӧн каттьысьны вывлань
0065	NOUN	розь	розь-яс-ӧд-ыс	pl	prl	TRUE	Aukko						voi kivuta reikien kautta	вермӧ каттьысьны		розьясӧдыс	Сэтшӧм РОЗЬЯСӦДЫС, потасъясӧдыс пытшкӧс ва му пытшкысь вермӧ ньӧжйӧникӧн каттьысьны вывлань
0066	ADP	выв	выв-ті	sg	tra	FALSE	Tila						(hevonen) voi vetää maaperää pitkin	вермӧ кыскыны	мусин	вывті	Улынджык индӧм таблица петкӧдлӧ, уна-ӧ груз уна сикаса мусин ВЫВТІ вермӧ кыскыны вӧв.
0067	ADP	выв	выв-ті	sg	tra	FALSE	Väylä						(hevonen) voi vetää tietä pitkin	вермӧ кыскыны	туй	вывті	Бур туй ВЫВТІ да шойччышталӧмӧн вӧв вермӧ кыскыны 100 пудъя додь 20 километр сайӧ 5 часӧн.
0068	ADP	выв	выв-ті-ыд	sg	tra	TRUE	Väylä						(hevonen) voi vetää tietä pitkin	вермӧ кыскыны	туй	вывтіыд	Бур туй ВЫВТІЫД вӧлыс вермӧ кыскыны 75 пудйӧдз.
0069	NOUN?	выла	выла-ті	sg	tra	FALSE	Tila						voi lentää (2000 km) kauemmas	вермӧ лэбзьыны		вылаті	Моторъясыслы ломтысянсӧ босьтӧ 10 час лэбалӧм вылӧ, вермӧ лэбзьыны 2000 метр ВЫЛАТІ.
0070	ADP	выв	выв-ті	sg	tra	FALSE	Väylä						(vaunut) voivat mennä kiskoja pitkin	вермӧны ветлыны	рельсъяс	вывті	Паравоз да вагонъяс вермӧны ветлыны сӧмын рельсъяс ВЫВТІ.
0071	NOUN	туй	туй-ӧд	sg	prl	FALSE	Väylä						(ihmiset) kykenevät menemään tietä pitkin	вермӧны мунны		туйӧд	Ловъя торъяс, йӧз вермӧны сӧмын дась ТУЙӦД мунны, шыльыда мунны; туйсӧ вежны найӧ некор оз вермыны.
0072	NOUN	ӧдзӧс	ӧдзӧс-ӧд-ыс	sg	prl	TRUE	Aukko						(kananpojat) voivat mennä sisään ovesta	вермӧны пыравны		ӧдзӧсӧдыс	Тайӧ ӦДЗӦСӦДЫС курӧгпиян вермӧны пыравны узьланінас да лунын шонтысьӧм могысь, сэті пыр шоныд.
0073	NOUN	вом	вом-ӧд-ыс	sg	prl	TRUE	Aukko						voivat mennä sisään suusta	вермӧны пырны		вомӧдыс	Сы вӧсна найӧ вермӧны пырны морт пытшкӧ ВОМӦДЫС, лолалігас; вермӧны пуксьыны сы вылӧ ветлӧдлігас.
0074	NOUN	розь	розь-ӧд-ыс	sg	prl	TRUE	Aukko						(ilma) kulkeutuu reiästä (lehmien luo)	веськалас		розьӧдыс	Сэки ывлавывса сӧстӧм сынӧдсӧ тӧлыс кутас пыртны трубаас вевдорса розьӧдыс, кодарсянь тӧлыс, трубасяньыс сэсся увдорса восьса РОЗЬӦДЫС сынӧдыс веськалас скӧт оланінад.
0075	NOUN	бронхи	бронхи-ӧд	sg	prl	FALSE	Väylä						(ilma) kulkeutuu keuhkoputkea pitkin	веськалӧ		бронхиӧд	Лолалігӧн сынӧдысь кислород сынӧд ветлан туйясӧд — БРОНХИӦД — веськалӧ войдӧр ты гадьясӧ, сэсянь сэсся вӧсни кышӧдъяс пырыс вирӧ.
0076	NOUN	канава	канава-ті	sg	tra	FALSE	Väylä						(uloste) kulkeutuu kanavaa pitkin	веськалӧ		канаваті	Скӧтлӧн кизьӧр куйӧдыс веськалӧ чукӧртан жӧлӧбъясӧ да сы кузя визувтӧ чукӧртан люкъясӧ (17 серпас пасйӧма «А» шыпасӧн), тасянь сэсся вевта ыджыд КАНАВАТІ (магистральӧд) кизьӧртор веськалӧ куйӧд видзан юкмӧсӧ.
0077	NOUN	магистраль	магистраль-ӧд	sg	prl	FALSE	Väylä						(uloste) kulkeutuu väylää pitkin	веськалӧ		магистральӧд	Скӧтлӧн кизьӧр куйӧдыс веськалӧ чукӧртан жӧлӧбъясӧ да сы кузя визувтӧ чукӧртан люкъясӧ (17 серпас пасйӧма «А» шыпасӧн), тасянь сэсся вевта ыджыд канаваті (МАГИСТРАЛЬӦД) кизьӧртор веськалӧ куйӧд видзан юкмӧсӧ.
0078	NOUN	сынӧд_ветлан_туй	сынӧд_ветлан_туй-яс-ӧд	pl	prl	FALSE	Väylä						(happi) kulkeutuu henkitorvea pitkin	веськалӧ		сынӧд_ветлан_туйясӧд	Лолалігӧн сынӧдысь кислород СЫНӦД ВЕТЛАН ТУЙЯСӦД — бронхиӧд — веськалӧ войдӧр ты гадьясӧ, сэсянь сэсся вӧсни кышӧдъяс пырыс вирӧ.
0079	NOUN	ва	ва-ӧд	sg	prl	FALSE	Väylä (2-ulott.)					TRUE	vesitse kulkeva	ветлан		ваӧд	Тайӧ кольччӧмсӧ лоис бырӧдӧма, кос вывті да ВАӦД ветлан торъясын парӧвӧй машина вын применитӧмӧн.
0080	ADP	выв	выв-ті	sg	tra	FALSE	Tila					TRUE	kuivaa (maata) kulkeva	ветлан	кос	вывті	Тайӧ кольччӧмсӧ лоис бырӧдӧма, кос ВЫВТІ да ваӧд ветлан торъясын парӧвӧй машина вын применитӧмӧн.
0081	ADP	выв	выв-ті	sg	tra	FALSE	Tila					TRUE	kuivaa (maata) kulkeva	ветлан	кос	вывті	хv–хvііі нэмъясын зэв ёна уджавлісны тӧв вынӧн кос ВЫВТІ ветлан двигатель, медся нин му уджалан двигатель, лӧсьӧдӧм вылын.
0082	NOUN	море	море-ӧд	sg	prl	FALSE	Väylä (3-ulott.)					TRUE	merta pitkin menevä	ветлан		мореӧд	хіх нэмын кӧ паруснӧй суднояслӧн шӧркодя грузлэптанлуныс вӧлі 200–300 тонна, хх нэм заводитчигӧн МОРЕӦД ветлан суднояслӧн грузлэптанлуныс вӧлі 40 сюрс тоннаӧн.
0083	NOUN	скӧт_карта	скӧт_карта-ті	sg	tra	FALSE	Tila					TRUE	lehmäkarsinaa pitkin menevä (tuuli)	ветлан		скӧт картаті	Куканясьӧм мӧсъясӧс колӧ видзны СКӦТ КАРТАТІ пыр ветлан тӧлысь.
0084	ADV	водз	водз-ті		tra								aiemmin (edeltä)			водзті	ВОДЗТІ сійӧ эз тӧдлы, мый тӧлысь вылын гӧраяс эмӧсь.
0085	ADV	водз	водз-ті-джык-сӧ		tra								aiemmin (enemmän edeltä)			водзтіджыксӧ	ВОДЗТІДЖЫКСӦ, революцияӧдз, Россияад юраліс, властвуйтіс неыджыд озыр йӧз чукӧр.
0086	NOUN	сынӧд	сынӧд-ӧд	sg	prl	FALSE	Väylä (3-ulott.)					TRUE	ilman läpi menevä	ветлан		сынӧдӧд	СЫНӦДӦД ветлан татшӧм машинаяслӧн двигательясыс уна, овлӧ 6 сюрс вӧв вын мындаӧдз.
0087	ADP	выв	выв-ті	sg	tra	FALSE	Tila					TRUE	mätänevää ruokaa pitkin mennessä	ветлігӧн	сёян	вывті	Куйӧд, кашельясті, сісьман сёян ВЫВТІ ветлігӧн гутъяслы кокъясас сибдалӧны быдсяма пӧлӧс висьӧмлӧн микробъясыс.
0088	ADP	выв	выв-ті	sg	tra	FALSE	Tila					TRUE	niittyä pitkin mennessä	ветлігӧн	луд	вывті	Луд ВЫВТІ ветлігӧн вӧвъяс йирӧны сэтшӧм турунъяс, кодъясӧс оз ло ытшкӧма да сы вӧсна весьшӧрӧ вошӧны.
0089	ADP	выв	выв-ті	sg	tra	FALSE	Tila					TRUE	laidunmaata pitkin mennessä	ветлігӧн	пӧскӧтина	вывті	Пӧскӧтина ВЫВТІ ветлігӧн вӧвъяслӧн сӧвмӧны-ёнмӧны мускулъясыс, сӧнъясыс да кусмӧсъясыс.
0090	NOUN	кашель	кашель-яс-ті	pl	tra	FALSE	Tila					TRUE	(jotain likaista asiaa) pitkin mennessä	ветлігӧн		кашельясті	Куйӧд, КАШЕЛЬЯСТІ, сісьман сёян вывті ветлігӧн гутъяслы кокъясас сибдалӧны быдсяма пӧлӧс висьӧмлӧн микробъясыс.
0091	NOUN	места	места-ӧд	sg	prl	FALSE	Kohdeväylä						30 km etäiseen paikkaan	ветліс		30 км ылна местаӧд	Фитч паракод йылысь тӧдӧны, мый 1788ʼ воӧ Филадельфиясянь да Берлингтонӧдз (Америкаын) 30 КМ ЫЛНА МЕСТАӦД ветліс 30 пассажирӧн.
0092	ADP	питі	питі-ыс	sg	tra	TRUE	Tila						(ilman) täytyy mennä maan poikki	ветліс	му	питіыс	Медым куйӧдыд да мукӧд сісьмӧм шыбласъяс му пиын пӧрисны селитраӧ, колӧ, мед му ПИТІЫС ветліс сынӧд.
0093	ADP	выв	выв-ті	sg	tra	FALSE	Tila						kulkevat kuivan maan yli	ветлісны	кос	вывті	Кос ВЫВТІ ветлісны каретаясӧн.
0094	ADP	дор	дор-ъяс-ӧд	pl	prl	FALSE							menivät meren rannan reunoja pitkin	ветлісны	море_берег	доръясӧд	Водзджыкнас парӧвӧй судноясӧн ветлісны сӧмын юясӧд да море берег ДОРЪЯСӦД.
0095	NOUN	канал	канал-ъяс-ӧд-ыс	pl	prl	TRUE	Väylä						kulkevat kärryillä kanavia pitkin	ветлісны		каналъясӧдыс	Вӧчалісны бурджык шоссейнӧй туйяс, кодъялісны каналъяс, вӧчалісны посъяс да сӧмын тайӧ шоссейнӧй туйясӧдыс да КАНАЛЪЯСӦДЫС ветлісны сійӧ жӧ телегаясӧн да пуръясӧн.
0096	NOUN	море	море-яс-ӧд	pl	prl	FALSE	Väylä (2-ulott.)						kulkivat meriä pitkin	ветлісны		мореясӧд	хіх нэмса 70-ӧд воясӧдз МОРЕЯСӦД медсясӧ ветлісны паруснӧй суднояс.
